timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-06 08:11:25,EGV,,5.2,,,29485.0
2025-12-06 08:16:25,EGV,,5.3,,,29785.0
2025-12-06 08:21:25,EGV,,5.3,,,30085.0
2025-12-06 08:26:25,EGV,,5.3,,,30385.0
2025-12-06 08:31:25,EGV,,5.2,,,30685.0
2025-12-06 08:36:25,EGV,,5.2,,,30985.0
2025-12-06 08:41:25,EGV,,5.3,,,31285.0
2025-12-06 08:46:25,EGV,,5.3,,,31585.0
2025-12-06 08:51:25,EGV,,5.3,,,31885.0
2025-12-06 08:56:25,EGV,,5.4,,,32185.0
2025-12-06 09:01:25,EGV,,5.4,,,32485.0
2025-12-06 09:06:25,EGV,,5.5,,,32785.0
2025-12-06 09:11:25,EGV,,5.7,,,33085.0
2025-12-06 09:16:26,EGV,,5.8,,,33386.0
2025-12-06 09:21:25,EGV,,6.0,,,33685.0
2025-12-06 09:26:26,EGV,,6.2,,,33986.0
2025-12-06 09:31:25,EGV,,5.9,,,34285.0
2025-12-06 09:36:25,EGV,,5.9,,,34585.0
2025-12-06 09:41:25,EGV,,5.9,,,34885.0
2025-12-06 09:46:25,EGV,,6.3,,,35185.0
2025-12-06 09:51:25,EGV,,6.8,,,35485.0
2025-12-06 09:56:25,EGV,,7.0,,,35785.0
2025-12-06 10:01:25,EGV,,7.3,,,36085.0
2025-12-06 10:06:25,EGV,,7.5,,,36385.0
2025-12-06 10:11:24,EGV,,7.2,,,36684.0
2025-12-06 10:16:25,EGV,,6.8,,,36985.0
2025-12-06 10:21:25,EGV,,6.6,,,37285.0
2025-12-06 10:26:25,EGV,,6.4,,,37585.0
2025-12-06 10:31:25,EGV,,6.2,,,37885.0
2025-12-06 10:36:24,EGV,,6.0,,,38184.0
2025-12-06 10:41:25,EGV,,5.9,,,38485.0
2025-12-06 10:46:25,EGV,,5.7,,,38785.0
2025-12-06 10:51:25,EGV,,5.4,,,39085.0
2025-12-06 10:56:25,EGV,,5.1,,,39385.0
2025-12-06 11:01:30,EGV,,4.7,,,39690.0
